time_step,v_raw,v_float
10315, -5242,-1.279785
10325, -5235,-1.278076
10335, -5228,-1.276367
10345, -5221,-1.274658
10355, -5214,-1.272949
10365, -5207,-1.271240
10375, -5200,-1.269531
10385, -5193,-1.267822
10395, -5186,-1.266113
10405, -5179,-1.264404
10415, -5172,-1.262695
10425, -5165,-1.260986
10435, -5158,-1.259277
10445, -5151,-1.257568
10455, -5144,-1.255859
10465, -5137,-1.254150
10475, -5129,-1.252197
10485, -5121,-1.250244
10495, -5113,-1.248291
10505, -5105,-1.246338
10515, -5097,-1.244385
10525, -5089,-1.242432
10535, -5081,-1.240479
10545, -5073,-1.238525
10555, -5065,-1.236572
10565, -5057,-1.234619
10575, -5049,-1.232666
10585, -5041,-1.230713
10595, -5033,-1.228760
10605, -5025,-1.226807
10615, -5017,-1.224854
10625, -5009,-1.222900
10635, -5001,-1.220947
10645, -4993,-1.218994
10655, -4985,-1.217041
10665, -4977,-1.215088
10675, -4970,-1.213379
10685, -4963,-1.211670
10695, -4956,-1.209961
10705, -4949,-1.208252
10715, -4941,-1.206299
10725, -4933,-1.204346
10735, -4925,-1.202393
10745, -4918,-1.200684
10755, -4911,-1.198975
10765, -4904,-1.197266
10775, -4897,-1.195557
10785, -4889,-1.193604
10795, -4881,-1.191650
10805, -4873,-1.189697
10815, -4866,-1.187988
10825, -4859,-1.186279
10835, -4852,-1.184570
10845, -4845,-1.182861
10855, -4837,-1.180908
10865, -4830,-1.179199
10875, -4823,-1.177490
10885, -4816,-1.175781
10895, -4809,-1.174072
10905, -4802,-1.172363
10915, -4795,-1.170654
10925, -4788,-1.168945
10935, -4781,-1.167236
10945, -4774,-1.165527
10955, -4767,-1.163818
10965, -4760,-1.162109
10975, -4753,-1.160400
10985, -4746,-1.158691
10995, -4739,-1.156982
11005, -4732,-1.155273
11015, -4725,-1.153564
11025, -4718,-1.151855
11035, -4711,-1.150146
11045, -4704,-1.148438
11055, -4697,-1.146729
11065, -4690,-1.145020
11075, -4683,-1.143311
